1/17/2008,10:29:30 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc2.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/17/2008,8:45:30 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc2.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/17/2008,6:52:30 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc3.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/17/2008,5:16:30 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc2.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/17/2008,3:46:30 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc2.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/17/2008,1:56:30 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc3.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/16/2008,10:22:50 AM,Windows Update Agent,Error,Software Sync ,16,N/A,BDUNSTAN-XP,Unable to Connect: Windows is unable to connect to the automatic updates service and therefore cannot download and install updates according to the set schedule. Windows will continue to try to establish a connection.
1/16/2008,8:35:26 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc3.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/16/2008,6:53:26 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc2.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/16/2008,5:17:26 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc3.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/14/2008,10:22:49 AM,Windows Update Agent,Error,Software Sync ,16,N/A,BDUNSTAN-XP,Unable to Connect: Windows is unable to connect to the automatic updates service and therefore cannot download and install updates according to the set schedule. Windows will continue to try to establish a connection.
1/12/2008,2:29:05 PM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc2.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/12/2008,12:58:05 PM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc2.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/12/2008,11:27:05 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc3.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/12/2008,10:22:48 AM,Windows Update Agent,Error,Software Sync ,16,N/A,BDUNSTAN-XP,Unable to Connect: Windows is unable to connect to the automatic updates service and therefore cannot download and install updates according to the set schedule. Windows will continue to try to establish a connection.
1/12/2008,9:38:04 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc3.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/12/2008,7:59:04 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc2.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/12/2008,6:05:04 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc3.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/11/2008,9:15:58 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc3.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/11/2008,7:19:58 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc2.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
1/11/2008,5:38:58 AM,LSASRV,Warning,SPNEGO (Negotiator) ,40961,N/A,BDUNSTAN-XP,The Security System could not establish a secured connection with the server ldap/corpqa-dc3.corpqa.centeris.com/corpqa.centeris.com@corpqa.centeris.com.  No authentication protocol was available.
